"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 12:30:00";"2";"0";"78";"1,71";"8388608";"1072903";"12,79";"0";"7";"64";"6";"6"
"05.11.2015 12:35:00";"2";"0";"90";"1,97";"8388608";"1039349";"12,39";"0";"8";"64";"44";"18"
"05.11.2015 12:40:00";"2";"0";"81";"1,77";"8388608";"871576";"10,39";"0";"7";"64";"7";"6"
"05.11.2015 12:45:00";"2";"0";"90";"1,98";"8388608";"938685";"11,19";"0";"8";"64";"44";"17"
"05.11.2015 12:50:00";"2";"0";"79";"1,72";"8388608";"972240";"11,59";"0";"8";"64";"6";"6"
"05.11.2015 12:55:00";"2";"0";"90";"1,97";"8388608";"888354";"10,59";"0";"8";"64";"44";"18"
"05.11.2015 13:00:00";"2";"0";"77";"1,69";"8388608";"838022";"9,99";"0";"7";"64";"6";"6"
"05.11.2015 13:05:00";"2";"0";"90";"1,98";"8388608";"888354";"10,59";"0";"9";"64";"44";"18"
"05.11.2015 13:10:00";"2";"0";"80";"1,75";"8388608";"1022571";"12,19";"0";"7";"64";"7";"7"
"05.11.2015 13:15:00";"2";"0";"102";"2,22";"8388608";"1396703";"16,65";"0";"7";"64";"44";"18"
"05.11.2015 13:20:00";"2";"0";"78";"1,71";"8388608";"938685";"11,19";"0";"7";"64";"6";"6"
"05.11.2015 13:25:00";"2";"0";"90";"1,98";"8388608";"972240";"11,59";"0";"7";"64";"44";"18"
"05.11.2015 13:30:00";"2";"0";"78";"1,71";"8388608";"1173566";"13,99";"0";"6";"64";"6";"6"
"05.11.2015 13:35:00";"2";"0";"90";"1,97";"8388608";"972240";"11,59";"0";"7";"64";"44";"18"
"05.11.2015 13:40:00";"2";"0";"80";"1,76";"8388608";"1022571";"12,19";"0";"6";"64";"7";"7"
"05.11.2015 13:45:00";"2";"0";"90";"1,97";"8388608";"1072903";"12,79";"0";"7";"64";"44";"18"
"05.11.2015 13:50:00";"2";"0";"78";"1,71";"8388608";"1190343";"14,19";"0";"6";"64";"6";"6"
"05.11.2015 13:55:00";"2";"0";"92";"2,02";"8388608";"989017";"11,79";"0";"7";"64";"45";"18"
"05.11.2015 14:00:00";"2";"0";"76";"1,67";"8388608";"921908";"10,99";"0";"7";"64";"6";"6"
"05.11.2015 14:05:00";"2";"0";"91";"1,99";"8388608";"972240";"11,59";"0";"7";"64";"44";"18"
"05.11.2015 14:10:00";"2";"0";"78";"1,72";"8388608";"754136";"8,99";"0";"6";"64";"7";"6"
"05.11.2015 14:15:00";"2";"0";"100";"2,18";"8388608";"1559442";"18,59";"0";"7";"64";"44";"18"
"05.11.2015 14:20:00";"2";"0";"78";"1,72";"8388608";"1056126";"12,59";"0";"7";"64";"6";"6"
"05.11.2015 14:25:00";"2";"0";"91";"2";"8388608";"1022571";"12,19";"0";"7";"64";"45";"18"
"05.11.2015 14:30:00";"2";"0";"78";"1,71";"8388608";"1005794";"11,99";"0";"6";"64";"6";"6"
"05.11.2015 14:35:00";"2";"0";"90";"1,96";"8388608";"1067031";"12,72";"0";"6";"64";"44";"18"
"05.11.2015 14:40:00";"2";"0";"77";"1,68";"8388608";"994050";"11,85";"0";"6";"64";"7";"6"
"05.11.2015 14:45:00";"2";"0";"87";"1,91";"8388608";"1010827";"12,05";"0";"7";"64";"44";"17"
